species,bd_status,bd_amount,time_of_capture,date_of_capture,body_temp_c,microhabitat_type,microhabitat_temp,body_length_mm,body_mass_g,life_stage,sex,air_temp_c,water_temp_c,pH,total_dissolved_solids
hyla_versicolor,0,0,22:21:00,2017-06-22,23.1,water,23.3,45.5,7.3,adult,m,22.4,23.7,6.9,2.42
rana_clamitans,0,0,11:00:00,2017-06-26,14,emergent vegetation below 0.1 m,14.2,36.9,5.4,juvenile,unknown,18.8,18,6.77,85.6
pseudacris_crucifer,1,3.373661518,13:53:00,2017-06-26,15.8,under log,15.5,16.2,0.1,metamorph,unknown,18.8,18,6.77,85.6
anaxyrus_americanus,0,0,14:28:00,2017-06-26,16.2,leaf litter,16.4,33.7,3.9,juvenile,unknown,18.8,18,6.77,85.6
rana_clamitans,1,23.691656110000004,14:35:00,2017-06-27,19.4,water,20.7,38.1,5,juvenile,unknown,14.8,16.9,7.3,87.2
rana_clamitans,0,0,13:49:00,2017-06-27,16.8,water,17.9,46.7,11.8,juvenile,unknown,14.8,16.9,7.3,87.2
rana_clamitans,0,0,14:47:00,2017-06-27,13.9,under log,13.8,58.8,16.5,adult,f,14.8,16.9,7.3,87.2
anaxyrus_americanus,0,0,14:00:00,2017-06-27,14.3,other,13.3,14.2,0.3,juvenile,unknown,14.8,16.9,7.3,87.2
rana_clamitans,0,0,10:02:00,2017-06-28,13.5,water,13.6,57.7,14.5,juvenile,unknown,19.8,15.7,6.88,90
hyla_versicolor,0,0,22:31:00,2017-06-28,15.1,on tree/log/bush above 1 m,15.1,44.4,7,adult,m,19.7,18.4,8.73,105
rana_clamitans,0,0,09:47:00,2017-06-28,14.7,water,15.2,39,4.5,juvenile,unknown,19.8,15.7,6.88,90
rana_clamitans,0,0,09:43:00,2017-06-28,15.4,emergent vegetation below 0.1 m,15,33.3,2.7,juvenile,unknown,19.8,15.7,6.88,90
rana_catesbeiana,0,0,23:11:00,2017-06-28,18.5,water,18.2,88.5,52,adult,f,19.7,18.4,8.73,105
anaxyrus_americanus,0,0,14:24:00,2017-06-28,18.8,leaf litter,18.7,14.9,0.4,juvenile,unknown,19.8,15.7,6.88,90
rana_catesbeiana,0,0,22:48:00,2017-06-28,17.9,water,17.9,84.4,47.4,adult,f,19.7,18.4,8.73,105
rana_clamitans,0,0,15:22:00,2017-06-28,16.8,emergent vegetation below 0.1 m,17.6,33.7,3,metamorph,unknown,19.8,15.7,6.88,90
rana_catesbeiana,1,116.8542175,22:39:00,2017-06-28,16.9,water,16.8,57.2,15.8,juvenile,unknown,19.7,18.4,8.73,105
rana_clamitans,0,0,22:58:00,2017-06-28,17.3,water,17.7,97.9,84.6,adult,f,19.7,18.4,8.73,105
rana_clamitans,1,20.31842041,22:30:00,2017-06-28,16.8,under log,15.9,87.5,54.2,adult,f,19.7,18.4,8.73,105
rana_clamitans,0,0,22:43:00,2017-06-28,17.1,water,17.1,41.2,5.6,juvenile,unknown,19.7,18.4,8.73,105
rana_clamitans,0,0,23:27:00,2017-06-28,17.2,water,17.4,73.5,36.8,adult,m,19.7,18.4,8.73,105
rana_clamitans,1,13.806889530000005,23:31:00,2017-06-28,17.1,water,17.3,78.4,35.7,adult,f,19.7,18.4,8.73,105
anaxyrus_americanus,0,0,10:14:00,2017-06-29,17.9,leaf litter,18.7,16.3,0.2,metamorph,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,23:04:00,2017-06-29,18.4,leaf litter,18.6,13.5,0.1,metamorph,unknown,20.9,21.1,5.15,17.4
anaxyrus_americanus,0,0,10:22:00,2017-06-29,17.5,soil,19.6,17.3,0.6,metamorph,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:54:00,2017-06-29,18.5,on tree/log/bush above 1 m,18.9,12.2,NA,metamorph,unknown,20.9,21.1,5.15,17.4
anaxyrus_americanus,0,0,10:31:00,2017-06-29,16.4,emergent vegetation below 0.1 m,16.5,17.1,0.45,metamorph,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,1,0.931833327,22:27:00,2017-06-29,20.5,emergent vegetation 0.1-1 m,20.5,13.8,0.1,juvenile,unknown,20.9,21.1,5.15,17.4
anaxyrus_americanus,0,0,10:17:00,2017-06-29,18.3,leaf litter,20.3,47.5,14.75,adult,f,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:48:00,2017-06-29,18.9,on tree/log/bush above 1 m,19,12.3,0.1,metamorph,unknown,20.9,21.1,5.15,17.4
rana_clamitans,1,136.2711182,09:59:00,2017-06-29,19.3,water,19.3,30.2,5.3,juvenile,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:30:00,2017-06-29,20.3,emergent vegetation 0.1-1 m,20.3,11.7,0.1,metamorph,unknown,20.9,21.1,5.15,17.4
rana_clamitans,0,0,12:46:00,2017-06-29,19.9,emergent vegetation below 0.1 m,20.3,55.2,13.7,juvenile,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:28:00,2017-06-29,19.9,emergent vegetation above 1 m,19.8,13.9,0.1,metamorph,unknown,20.9,21.1,5.15,17.4
rana_clamitans,0,0,13:14:00,2017-06-29,25.7,water,25.1,64.1,19.3,adult,f,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:37:00,2017-06-29,19,emergent vegetation 0.1-1 m,19.1,13,0.1,juvenile,unknown,20.9,21.1,5.15,17.4
rana_clamitans,0,0,13:10:00,2017-06-29,19.2,mud,19.6,32,2.3,juvenile,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:39:00,2017-06-29,19.5,on tree/log/bush above 1 m,19.2,12,0.1,metamorph,unknown,20.9,21.1,5.15,17.4
rana_clamitans,0,0,12:37:00,2017-06-29,18.4,water,18.3,66.7,28,adult,f,24.4,19.8,6.95,86.9
rana_clamitans,0,0,22:40:00,2017-06-29,20.5,water,20.3,66,18.8,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,0,0,12:46:00,2017-06-29,19.4,water,19,33.4,3,juvenile,unknown,24.4,19.8,6.95,86.9
pseudacris_crucifer,0,0,22:45:00,2017-06-29,19.2,emergent vegetation 0.1-1 m,18.8,13,NA,metamorph,unknown,20.9,21.1,5.15,17.4
pseudacris_crucifer,0,0,22:35:00,2017-06-29,18.8,emergent vegetation 0.1-1 m,18.9,13.1,NA,metamorph,unknown,20.9,21.1,5.15,17.4
pseudacris_crucifer,0,0,22:52:00,2017-06-29,18.6,on tree/log/bush above 1 m,18.8,13.6,NA,metamorph,unknown,20.9,21.1,5.15,17.4
pseudacris_crucifer,0,0,22:32:00,2017-06-29,18.8,emergent vegetation above 1 m,18.9,12.8,NA,juvenile,unknown,20.9,21.1,5.15,17.4
rana_clamitans,0,0,22:26:00,2017-06-29,21.2,water,21.3,75.2,30.6,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,0,0,23:03:00,2017-06-29,20.2,water,20.8,50,15.3,adult,f,20.9,21.1,5.15,17.4
rana_clamitans,0,0,22:36:00,2017-06-29,20.5,water,20.5,74.4,31.3,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,0,0,23:06:00,2017-06-29,20.4,water,20.9,53.9,12.3,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,0,0,22:24:00,2017-06-29,21.7,water,21.6,64.1,17.1,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,0,0,22:47:00,2017-06-29,19.7,water,19.7,63,19.9,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,0,0,22:53:00,2017-06-29,21.3,water,21.3,69.5,24.5,adult,m,20.9,21.1,5.15,17.4
rana_clamitans,1,1.697428703,22:44:00,2017-06-29,20.1,water,20.2,57.8,16.3,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,0,0,22:49:00,2017-06-29,19.2,emergent vegetation above 1 m,19.1,48.5,7.9,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,0,0,22:30:00,2017-06-29,21.4,emergent vegetation 0.1-1 m,21.3,45,6.5,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,0,0,22:41:00,2017-06-29,21,on tree/log/bush above 1 m,21,44,7.8,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,0,0,23:14:00,2017-06-29,20.8,emergent vegetation 0.1-1 m,18.6,40.7,5.9,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,1,2.388695478,22:28:00,2017-06-29,19.9,emergent vegetation 0.1-1 m,19.9,48,6.9,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,0,0,22:22:00,2017-06-29,20,emergent vegetation 0.1-1 m,20,48.1,7.9,adult,m,20.9,21.1,5.15,17.4
hyla_versicolor,0,0,22:26:00,2017-06-29,19.7,emergent vegetation above 1 m,19.4,40.2,4.7,adult,m,20.9,21.1,5.15,17.4
anaxyrus_americanus,0,0,09:53:00,2017-06-30,18.4,leaf litter,18.7,16.4,0.1,juvenile,unknown,22.6,21,NA,84.6
rana_clamitans,0,0,10:26:00,2017-06-30,18.3,mud,18,32.4,2.8,juvenile,unknown,22.6,21,NA,84.6
rana_clamitans,0,0,09:47:00,2017-06-30,19.9,mud,19.5,37.3,5.3,juvenile,unknown,22.6,21,NA,84.6
rana_clamitans,1,1.027979136,13:36:00,2017-06-30,26.1,mud,27.7,37.5,3.4,juvenile,unknown,22.6,21,NA,84.6
rana_clamitans,0,0,13:41:00,2017-06-30,25.1,water,26.5,57.9,13.3,adult,f,22.6,21,NA,84.6
rana_clamitans,0,0,14:05:00,2017-06-30,28.6,water,26,32,2.6,juvenile,unknown,22.6,21,NA,84.6
rana_clamitans,0,0,14:12:00,2017-06-30,20,emergent vegetation below 0.1 m,20.4,68,28.8,adult,f,22.6,21,NA,84.6
rana_pipiens,0,0,15:30:00,2017-07-03,23.7,grass,23,31,1.3,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,15:32:00,2017-07-03,23.5,grass,23.1,35,1.7,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,15:33:00,2017-07-03,23.6,grass,23,35,1.6,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,15:38:00,2017-07-03,23.5,grass,23,32,1.2,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,15:39:00,2017-07-03,23.9,grass,24,30,1.8,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,15:42:00,2017-07-03,21,grass,21,28,1.3,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:01:00,2017-07-03,24,grass,24.1,29,1.4,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:02:00,2017-07-03,23.9,grass,23.9,28,1.8,juvenile,unknown,NA,NA,NA,NA
rana_catesbeiana,0,0,22:45:00,2017-07-06,22,water,22,149.1,NA,adult,f,23.8,22.7,7.26,105
rana_catesbeiana,0,0,23:17:00,2017-07-06,22.7,water,20.8,110.7,NA,adult,f,23.8,22.7,7.26,105
rana_catesbeiana,0,0,22:17:00,2017-07-06,21.6,emergent vegetation 0.1-1 m,22,68.3,23.1,adult,f,23.8,22.7,7.26,105
rana_catesbeiana,0,0,22:42:00,2017-07-06,20.9,water,21,64.5,20.8,juvenile,unknown,23.8,22.7,7.26,105
rana_catesbeiana,0,0,23:20:00,2017-07-06,21.9,road/sidewalk,22,37.9,5,juvenile,unknown,23.8,22.7,7.26,105
rana_clamitans,0,0,22:37:00,2017-07-06,22.5,water,22.4,65.5,25.7,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:16:00,2017-07-06,21.19,water,22,79.7,36.3,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:14:00,2017-07-06,22.1,water,22.2,68.6,19.7,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:45:00,2017-07-06,22.9,water,22.8,65.8,25.2,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:14:00,2017-07-06,22.2,water,22.4,65.9,20.9,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:30:00,2017-07-06,22.5,water,22.4,65.6,20.7,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:54:00,2017-07-06,21.2,water,21.2,51,20,adult,m,23.8,22.7,7.26,105
rana_clamitans,0,0,22:39:00,2017-07-06,24.9,water,22.4,50.4,15.3,adult,m,23.8,22.7,7.26,105
rana_clamitans,1,6.063530445,22:57:00,2017-07-06,19.6,water,19.5,56.8,14.4,juvenile,unknown,23.8,22.7,7.26,105
rana_clamitans,0,0,21:51:00,2017-07-06,21.4,road/sidewalk,21.5,46.9,8.7,juvenile,unknown,23.8,22.7,7.26,105
anaxyrus_americanus,1,0.21258641800000003,23:26:00,2017-07-06,20,grass,20.1,28.4,1.6,juvenile,unknown,23.8,22.7,7.26,105
anaxyrus_americanus,0,0,23:03:00,2017-07-06,20.9,road/sidewalk,20.9,27.9,1.5,juvenile,unknown,23.8,22.7,7.26,105
anaxyrus_americanus,0,0,23:22:00,2017-07-06,21.2,road/sidewalk,21.1,26.7,1.6,juvenile,unknown,23.8,22.7,7.26,105
anaxyrus_americanus,0,0,23:24:00,2017-07-06,21.8,water,22,28.7,1.8,juvenile,unknown,23.8,22.7,7.26,105
anaxyrus_americanus,0,0,23:24:00,2017-07-06,21.1,road/sidewalk,21.1,24.3,1.1,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:35:00,2017-07-06,21.4,grass,20.9,30.9,2.2,metamorph,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,23:00:00,2017-07-06,20,road/sidewalk,20,29.5,1.9,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,1,22.58786201,22:51:00,2017-07-06,21,grass,21,33.9,2.7,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,23:08:00,2017-07-06,20,grass,20,34.6,2.4,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:34:00,2017-07-06,23,grass,23.3,32.5,2.4,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,23:19:00,2017-07-06,21.3,road/sidewalk,21.3,33.4,2.6,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:39:00,2017-07-06,21.4,grass,21.3,30.1,1.5,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:59:00,2017-07-06,19.9,grass,20,31,1.9,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:45:00,2017-07-06,21.3,road/sidewalk,21.1,34.8,2.7,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:43:00,2017-07-06,21.3,grass,21.4,36.4,2.6,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,22:59:00,2017-07-06,20.3,road/sidewalk,20.2,34.6,2.6,juvenile,unknown,23.8,22.7,7.26,105
anaxyrus_americanus,0,0,23:05:00,2017-07-06,20.8,road/sidewalk,20.8,24.7,0.9,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,21:53:00,2017-07-06,25.8,road/sidewalk,24,33,1.4,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,23:07:00,2017-07-06,20.7,grass,20.7,35.6,3.6,juvenile,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,23:20:00,2017-07-06,20.7,road/sidewalk,20.8,33.8,2.5,metamorph,unknown,23.8,22.7,7.26,105
rana_pipiens,0,0,23:13:00,2017-07-06,21.5,road/sidewalk,21.5,34.7,2.4,juvenile,unknown,23.8,22.7,7.26,105
rana_clamitans,0,0,22:47:00,2017-07-06,21.2,water,21.2,75.7,32.9,adult,m,23.8,22.7,7.26,105
hyla_versicolor,0,0,22:30:00,2017-07-07,18.2,on tree/log/bush above 1 m,17.9,43.5,6.2,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:50:00,2017-07-07,22,emergent vegetation 0.1-1 m,22.4,41.7,4.9,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:32:00,2017-07-07,18.8,on tree/log/bush above 1 m,18.6,45.1,7.1,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,23:11:00,2017-07-07,19.4,on tree/log/bush above 1 m,19.4,44.7,6.4,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:35:00,2017-07-07,19,emergent vegetation 0.1-1 m,19.3,30.6,6,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,23:14:00,2017-07-07,19.3,emergent vegetation 0.1-1 m,19.4,45.4,7.6,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:29:00,2017-07-07,22,on tree/log/bush above 1 m,22,46.4,7.1,adult,m,21.8,21.8,7.06,444
hyla_versicolor,1,146.471405,22:45:00,2017-07-07,18.7,on tree/log/bush above 1 m,18.9,46.3,7.2,adult,m,21.8,21.8,7.06,444
hyla_versicolor,1,1.0750147099999998,22:43:00,2017-07-07,18.8,on tree/log/bush above 1 m,19.6,44.8,5.5,adult,m,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:53:00,2017-07-07,19.8,NA,20,21.3,0.5,metamorph,unknown,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:40:00,2017-07-07,18,emergent vegetation above 1 m,18.8,22.2,0.7,metamorph,unknown,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:35:00,2017-07-07,19.6,grass,19.7,20.3,0.4,metamorph,unknown,21.8,21.8,7.06,444
hyla_versicolor,0,0,23:23:00,2017-07-07,21.3,grass,20,21.6,0.7,metamorph,unknown,21.8,21.8,7.06,444
hyla_versicolor,0,0,22:53:00,2017-07-07,19.8,emergent vegetation 0.1-1 m,19.9,19.9,0.3,metamorph,unknown,21.8,21.8,7.06,444
rana_clamitans,1,5.467794895,23:05:00,2017-07-07,27.5,water,31.8,68.2,31.4,adult,m,21.8,21.8,7.06,444
rana_clamitans,0,0,22:49:00,2017-07-07,22.1,water,22.4,84.6,46.5,adult,m,21.8,21.8,7.06,444
rana_clamitans,1,239.5615692,23:00:00,2017-07-07,24.3,water,24.3,70.1,35.8,adult,m,21.8,21.8,7.06,444
rana_clamitans,0,0,22:21:00,2017-07-07,22.1,water,22.7,77.1,34.4,adult,m,21.8,21.8,7.06,444
rana_clamitans,1,378.0532227,22:35:00,2017-07-07,26.7,water,24,87.1,52,adult,m,21.8,21.8,7.06,444
rana_clamitans,0,0,22:25:00,2017-07-07,23,water,23.8,75.4,42.8,adult,m,21.8,21.8,7.06,444
rana_catesbeiana,0,0,23:06:00,2017-07-07,22.1,water,22.4,52.2,14.1,juvenile,unknown,21.8,21.8,7.06,444
rana_catesbeiana,0,0,23:11:00,2017-07-07,25,water,25,42.7,9.7,juvenile,unknown,21.8,21.8,7.06,444
unknown_species,0,0,22:53:00,2017-07-07,NA,water,NA,NA,NA,larvae,unknown,21.8,21.8,7.06,444
anaxyrus_americanus,0,0,11:21:00,2017-07-08,25.5,grass,25.5,20.6,0.6,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,1,182.3144684,11:24:00,2017-07-08,22.6,grass,22.6,21.2,1.1,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,21.7,grass,21.8,21,0.8,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,1,103.1025543,11:20:00,2017-07-08,19.9,grass,19.9,47.7,10.7,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,1,199.77296449999997,11:30:00,2017-07-08,NA,grass,NA,26.9,1.3,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,22.4,grass,22.3,17.5,0.4,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,21.5,grass,21.4,22.2,1,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,16.2,grass,16.1,17.7,0.8,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,15.9,grass,15.9,19.3,0.7,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,15.1,grass,15.6,21.8,0.8,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,11:30:00,2017-07-08,NA,grass,NA,36.4,3.2,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,1,247.9006348,11:30:00,2017-07-08,19.6,grass,19.7,33.8,2.1,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,11:33:00,2017-07-08,20,grass,20,30.4,1.8,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,1,2.4365172389999996,11:38:00,2017-07-08,21,grass,21,26.6,1.2,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:49:00,2017-07-08,23.8,grass,23.7,27.2,1.1,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:49:00,2017-07-08,23.8,grass,23.7,26,1.1,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,20:45:00,2017-07-08,NA,grass,NA,32.1,1.3,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:49:00,2017-07-08,23.8,grass,23.7,23.5,1.2,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:49:00,2017-07-08,23.8,grass,23.7,24.6,1.1,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:49:00,2017-07-08,23.8,grass,23.7,25.3,0.9,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,16:49:00,2017-07-08,23.8,grass,23.7,25.9,1,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,16:36:00,2017-07-08,21.3,grass,21.3,22.4,0.9,juvenile,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,16:33:00,2017-07-08,22.6,road/sidewalk,22.5,21.7,1,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,18:41:00,2017-07-10,NA,grass,NA,22.9,0.7,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,19:15:00,2017-07-10,NA,water,NA,24.3,1,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,19:13:00,2017-07-10,NA,grass,NA,25.5,0.8,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,19:06:00,2017-07-10,NA,water,NA,34.8,2.7,juvenile,unknown,NA,NA,NA,NA
rana_pipiens,0,0,18:49:00,2017-07-10,NA,grass,NA,23.9,0.9,metamorph,unknown,NA,NA,NA,NA
anaxyrus_americanus,0,0,23:27:00,2017-07-11,24,road/sidewalk,24,23.6,1,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:13:00,2017-07-11,21.7,grass,21.8,24,0.8,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:49:00,2017-07-11,22.1,emergent vegetation above 1 m,22.1,12.2,0.2,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:07:00,2017-07-11,21.3,grass,21.3,26.5,0.9,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:18:00,2017-07-11,20,emergent vegetation above 1 m,20.3,14.1,NA,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:14:00,2017-07-11,22.2,grass,22.1,22.7,0.8,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:29:00,2017-07-11,24.9,road/sidewalk,24.9,13,NA,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:05:00,2017-07-11,22.4,grass,22.4,25.7,0.8,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:19:00,2017-07-11,24.8,road/sidewalk,24.8,15.7,0.1,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,21:50:00,2017-07-11,24.6,road/sidewalk,24.6,35.5,3,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:19:00,2017-07-11,23.9,road/sidewalk,24.6,14.4,0.2,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,21:53:00,2017-07-11,25.1,grass,24.9,28.3,0.9,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:27:00,2017-07-11,20.4,on tree/log/bush above 1 m,20,14.1,NA,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:29:00,2017-07-11,21,grass,21.1,26.2,0.9,juvenile,unknown,NA,NA,NA,NA
pseudacris_crucifer,0,0,23:52:00,2017-07-11,24,road/sidewalk,24,17.5,0.3,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:03:00,2017-07-11,22.6,grass,22.6,25.6,1,juvenile,unknown,NA,NA,NA,NA
hyla_versicolor,1,4.264513015999999,23:37:00,2017-07-11,20,on tree/log/bush above 1 m,19.1,43.5,5.2,adult,m,22.6,23.1,7.83,50.5
rana_pipiens,0,0,21:51:00,2017-07-11,25.6,road/sidewalk,23.2,29.4,1.4,juvenile,unknown,NA,NA,NA,NA
hyla_versicolor,1,3.2499330040000003,23:43:00,2017-07-11,21.9,water,22,19.8,0.3,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,21:51:00,2017-07-11,25.2,road/sidewalk,26,32.3,1.9,juvenile,unknown,NA,NA,NA,NA
hyla_versicolor,0,0,23:49:00,2017-07-11,24.1,road/sidewalk,24.1,18.1,0.2,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:32:00,2017-07-11,20.7,grass,21.6,35.6,2.5,juvenile,unknown,NA,NA,NA,NA
hyla_versicolor,0,0,23:30:00,2017-07-11,24.5,road/sidewalk,24.5,18.9,0.1,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:53:00,2017-07-11,23.2,road/sidewalk,23.2,26.2,2.4,juvenile,unknown,NA,NA,NA,NA
hyla_versicolor,0,0,23:17:00,2017-07-11,24.8,road/sidewalk,25.4,18.9,0.4,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:32:00,2017-07-11,22,grass,22.8,37.5,3,juvenile,unknown,NA,NA,NA,NA
hyla_versicolor,0,0,23:23:00,2017-07-11,20.3,emergent vegetation above 1 m,20.3,19.7,0.2,metamorph,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:11:00,2017-07-11,21.6,grass,21.8,24.1,0.7,metamorph,unknown,NA,NA,NA,NA
hyla_versicolor,0,0,23:26:00,2017-07-11,25.9,road/sidewalk,25.9,20.4,0.5,juvenile,unknown,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:28:00,2017-07-11,22.1,grass,22.1,29.5,1.3,juvenile,unknown,NA,NA,NA,NA
rana_clamitans,0,0,23:46:00,2017-07-11,21.9,water,22.1,70.1,38.8,adult,m,22.6,23.1,7.83,50.5
rana_pipiens,0,0,21:59:00,2017-07-11,22.1,rock,22.3,37.2,3.5,juvenile,unknown,NA,NA,NA,NA
rana_clamitans,0,0,23:36:00,2017-07-11,22.1,water,22.7,75.3,31.7,adult,m,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:40:00,2017-07-11,20.1,grass,20.1,30.7,1.4,juvenile,unknown,NA,NA,NA,NA
rana_clamitans,1,11.86765862,23:32:00,2017-07-11,22.1,water,22.1,75.1,36.1,adult,m,22.6,23.1,7.83,50.5
rana_pipiens,0,0,22:17:00,2017-07-11,21.7,grass,21.6,75.5,34.4,adult,m,NA,NA,NA,NA
rana_clamitans,1,7.219130993,23:41:00,2017-07-11,23,water,22.4,77,36.3,adult,m,22.6,23.1,7.83,50.5
rana_clamitans,1,74.61255646000001,23:51:00,2017-07-11,22.4,water,22.4,71.5,27,adult,m,22.6,23.1,7.83,50.5
